id	effectiveTime	active	moduleId	refsetId	referencedComponentId
8b15f794-8c42-4ec3-ac72-8c7c9ddfb89c	20231101	0	900000000000207008	723264001	67540009
8f838198-0fdd-4154-b56f-b2588536e326	20170131	1	900000000000207008	723264001	302525009
9625660c-2e3d-4eed-b12c-79a82a6623dd	20170131	1	900000000000207008	723264001	122972007
985dbdea-0a1e-481e-8e25-1ad26657c064	20220630	1	900000000000207008	723264001	1230368008
9e78e2b5-5858-4aea-860f-58b7fb53c1bb	20170131	1	900000000000207008	723264001	30737000
a1261f01-3513-402d-b7fd-ac79e0df274e	20170131	1	900000000000207008	723264001	265803009
b23b2175-97f8-4ebd-90c8-2d1e15db082b	20170131	1	900000000000207008	723264001	32610002
b84d7eb6-058a-4a36-b36b-0c3bec6d76f4	20170131	1	900000000000207008	723264001	116006008
bb508d84-e933-4768-bf0d-d9bac365f897	20170131	1	900000000000207008	723264001	699616002
bdd239ac-dc88-4007-b8fc-e9d180a8d9b9	20170131	1	900000000000207008	723264001	113254000
c0d25e42-639f-4003-8e18-19e88646d484	20170131	1	900000000000207008	723264001	66019005
c73069b4-3282-4ae4-b366-d76cbc5ba6a2	20170131	1	900000000000207008	723264001	245098002
cf77d570-67a7-4f9b-895d-082b3ad78594	20220228	1	900000000000207008	723264001	1193602001
d30772f4-dd48-4323-9ae9-5e0ad719dbf8	20170131	1	900000000000207008	723264001	118632007
d8f16813-fdf0-4150-ac32-070080822224	20170131	1	900000000000207008	723264001	62413002
dcd2a6bc-dcd1-4152-88c7-4c4575c13239	20170131	1	900000000000207008	723264001	314634000
e58a781f-60ed-40fc-a67e-c51f983d4f84	20170131	1	900000000000207008	723264001	120577001
e9c2babc-8022-4e69-809c-c66738d9853a	20170131	1	900000000000207008	723264001	64033007
f3c18bbe-4715-4d30-9102-c20e3e843934	20170131	1	900000000000207008	723264001	712835007
f913fec9-7a3c-485e-befa-147506db8fba	20170131	1	900000000000207008	723264001	302539009
00d7ca1b-0b54-4ae2-9430-6983e4f39959	20170131	1	900000000000207008	723264001	38199008
077f865f-f612-462d-9ebd-6134e17ffd6e	20170131	1	900000000000207008	723264001	110540008
08006d9d-e434-4af2-9354-6f1260e49bab	20170131	1	900000000000207008	723264001	302545001
0c670231-ede2-4410-a22f-20980b0891bd	20170131	1	900000000000207008	723264001	244699002
0d46f917-5930-4df6-98d8-8d592fe906d3	20170131	1	900000000000207008	723264001	422871001
15fe82f1-ebe6-4c32-874d-9759aba610d0	20170131	1	900000000000207008	723264001	371299000
1a04b90a-e9fa-4662-b259-0e7afdbab57a	20170131	1	900000000000207008	723264001	39607008
21fce8e5-5fd8-4988-aa9f-50581b67f29a	20170131	1	900000000000207008	723264001	23416004
26c79e19-2431-4a96-93fe-86aed059f4ae	20240801	1	900000000000207008	723264001	81040000
2a3e60aa-1b76-4adc-a041-05ee7939a1ca	20170131	1	900000000000207008	723264001	12611008
2e73a7e5-634a-4784-ba1a-087567a28abb	20170131	1	900000000000207008	723264001	419605007
31355f10-3fef-4fce-94ca-69cf33e66f60	20170131	1	900000000000207008	723264001	78076003
33097714-1393-4070-a91a-1da16949576b	20170131	1	900000000000207008	723264001	85562004
35a46503-24b5-4b5f-90ea-97315f4e8ae6	20170131	1	900000000000207008	723264001	423857001
36c0bea7-a113-424a-b9cd-a40c3850de28	20170131	1	900000000000207008	723264001	52687003
38be71d6-49fd-4d93-b2f6-90f84b2714e8	20170131	1	900000000000207008	723264001	5665001
394d4c26-eeda-4d2b-87e3-381ce93d3430	20170131	1	900000000000207008	723264001	281243005
3ee687ce-e5b5-4085-bc2b-7a7186063236	20170131	1	900000000000207008	723264001	119191008
46e0f102-755e-47ac-af24-7db2f490d652	20170131	1	900000000000207008	723264001	58471003
4a0e4a59-4849-46e3-8d83-27f90e1a6d84	20170731	1	900000000000207008	723264001	727429009
4abe7c24-8306-4cba-917e-2e392348c607	20170731	1	900000000000207008	723264001	728137008
51bf7c6e-e1af-4472-9e41-14fdfe9e43f1	20170131	1	900000000000207008	723264001	368380004
582fa97c-f9cc-4d2c-a775-4bf3a8830199	20170131	1	900000000000207008	723264001	6787005
5ac573c8-8b97-4f1a-b4df-0f0b14e574b6	20170131	1	900000000000207008	723264001	422697005
7470132c-0b63-4c73-8a79-6859ba2dc4eb	20170131	1	900000000000207008	723264001	307113009
7a27c167-2ac4-492c-b1df-e2a2e2d882bc	20170131	1	900000000000207008	723264001	56459004
