id	effectiveTime	active	moduleId	refsetId	referencedComponentId	rangeConstraint	attributeRule	ruleStrengthId	contentTypeId
244d3fc6-b622-4e8b-9e25-e19e2b8751c1	20170731	1	900000000000012004	723562003	118169006	<< 442083009 |Anatomical or acquired body structure (body structure)|	<< 123038009 |Specimen (specimen)|: [0..*] { [0..1] 118169006 |Specimen source topography| = << 442083009 |Anatomical or acquired body structure (body structure)| }	723597001	723596005
2eb17bc1-e262-4bb9-b3b5-4518e53af22f	20220731	1	900000000000012004	723562003	116676008	<< 49755003 |Morphologically abnormal structure (morphologic abnormality)|	<< 404684003 |Clinical finding (finding)|: [0..*] { [0..1] 116676008 |Associated morphology| = << 49755003 |Morphologically abnormal structure (morphologic abnormality)| }	723597001	723596005
3385133c-0886-4c6f-9e6d-2f1d216c9f91	20210131	1	900000000000012004	723562003	370133003	<< 105590001 |Substance (substance)| OR << 260787004 |Physical object (physical object)| OR << 373873005 |Pharmaceutical / biologic product (product)|	<< 123038009 |Specimen (specimen)|: [0..*] { [0..1] 370133003 |Specimen substance| = (<< 105590001 |Substance (substance)| OR << 260787004 |Physical object (physical object)| OR << 373873005 |Pharmaceutical / biologic product (product)|) }	723597001	723596005
38cf03ea-0326-4049-b930-41728495b33e	20250401	1	900000000000012004	723562003	246093002	<< 105590001 |Substance (substance)| OR << 123037004 |Body structure (body structure)| OR << 123038009 |Specimen (specimen)| OR << 260787004 |Physical object (physical object)| OR << 373873005 |Pharmaceutical / biologic product (product)| OR << 410607006 |Organism (organism)| OR << 419891008 |Record artifact (record artifact)| OR << 540091010000105 |Calculation (calculation)|	(<< 363787002 |Observable entity (observable entity)| OR << 386053000 |Evaluation procedure (procedure)|): [0..*] { [0..*] 246093002 |Component| = (<< 105590001 |Substance (substance)| OR << 123037004 |Body structure (body structure)| OR << 123038009 |Specimen (specimen)| OR << 260787004 |Physical object (physical object)| OR << 373873005 |Pharmaceutical / biologic product (product)| OR << 410607006 |Organism (organism)| OR << 419891008 |Record artifact (record artifact)| OR << 540091010000105 |Calculation (calculation)|) }	723597001	723596005
39f5f1fc-d2e4-45b0-9643-d6ce66a871d6	20210731	1	900000000000012004	723562003	1142139005	int(>#0..)	<< 373873005 |Pharmaceutical / biologic product (product)|: [0..1] 1142139005 |Count of base of active ingredient| > #0	723597001	723596005
3c7fb8c8-2e1e-407a-8c71-1ce330441c3d	20230630	1	900000000000012004	723562003	408729009	<< 410514004 |Finding context value (qualifier value)|	<< 413350009 |Finding with explicit context (situation)|: [0..*] { [0..1] 408729009 |Finding context| = << 410514004 |Finding context value (qualifier value)| }	723597001	723596005
473f46f5-5bb8-4691-aa64-0193c8fb314b	20200731	1	900000000000012004	723562003	424226004	<< 49062001 |Device (physical object)|	(<< 363787002 |Observable entity (observable entity)|: [0..*] { [0..1] 424226004 |Using device| = << 49062001 |Device (physical object)| }) OR (<< 71388002 |Procedure (procedure)|: [0..*] { [0..*] 424226004 |Using device| = << 49062001 |Device (physical object)| })	723597001	723596005
47e35159-6db8-41f2-a4cd-4fa79ea0e03b	20231001	1	900000000000012004	723562003	246454002	<< 282032007 |Periods of life (qualifier value)|	(<< 272379006 |Event (event)| OR << 404684003 |Clinical finding (finding)| OR << 71388002 |Procedure (procedure)|): [0..*] { [0..1] 246454002 |Occurrence| = << 282032007 |Periods of life (qualifier value)| }	723597001	723596005
4816c1c3-3299-48ce-998b-f70a1d03bbdf	20210731	1	900000000000012004	723562003	1142138002	dec(>#0..)	<< 373873005 |Pharmaceutical / biologic product (product)|: [0..*] { [0..1] 1142138002 |Has concentration strength numerator value| > #0 }	723597001	723596005
4c177f0d-03bc-4f5f-b0f9-e792467e652b	20190731	0	900000000000012004	723562003	411116001	<< 736542009 |Pharmaceutical dose form (dose form)|	<< 373873005 |Pharmaceutical / biologic product (product)|: [0..1] 411116001 |Has manufactured dose form| = << 736542009 |Pharmaceutical dose form (dose form)|	723598006	723596005
